Edge name,partner1,partner2,Edge Type,Spearman corr pval (metatreatment1),Spearman corr pval (metatreatment2),Spearman corr pval (metatreatment3),Spearman corr pval (metatreatment4),Spearman corr pval (metatreatment5),Spearman corr pval (metatreatment6),Combined corr Pvalue,Corr Coefficient (metatreatment1),Corr Coefficient (metatreatment2),Corr Coefficient (metatreatment3),Corr Coefficient (metatreatment4),Corr Coefficient (metatreatment5),Corr Coefficient (metatreatment6),Mean Corr Coefficient,Combined corr FDR,partner1 name,partner1_MedianValue (experiment1),partner1_MedianValue (experiment2),partner1_MeanValue (experiment1),partner1_MeanValue (experiment2),partner1_MedianLog2FoldChange (experiment1),partner1_MedianLog2FoldChange (experiment2),partner1_MeanLog2FoldChange (experiment1),partner1_MeanLog2FoldChange (experiment2),partner2 name,partner2_MedianValue (experiment1),partner2_MedianValue (experiment2),partner2_MeanValue (experiment1),partner2_MeanValue (experiment2),partner2_MedianLog2FoldChange (experiment1),partner2_MedianLog2FoldChange (experiment2),partner2_MeanLog2FoldChange (experiment1),partner2_MeanLog2FoldChange (experiment2),Correlations Passed Consistency Filter (66.0% Agreement),All Non-PUC Filters Passed,combined Coefficient correlation Direction,partner1_FC_direction,partner2_FC_direction,IfFoldChangeDirectionMatch,PUC,"Final Network Value (0: No edge, 1: Positive edge, -1: Negative edge)"
OTU_176154<==>OTU_203713,OTU_176154,OTU_203713,microbe<==>microbe,0.1555786953745488,0.00481823046819857,0.5411457083064429,0.02438582656716593,0.5810906728217108,0.21889398131323168,0.00729938723125902,0.24526362488882153,0.9746794344808963,0.36893239368631087,0.37989329874202693,0.3354101966249684,0.6668859288553501,0.4951774795463957,0.0317438467964055,OTU_176154,20.13477408,8.979911624,62.76319253058,17.729340623619997,-1.6094856425097266,-0.05587338010082832,-1.8633213573863037,-0.13553983805209413,OTU_203713,3761.972673,757.5655379,4555.016626026004,1298.8882625444,-1.1866412317209196,-1.7056211290407488,-1.1569246981938588,-3.2480715888241023,True,True,1.0,-1.0,-1.0,1.0,1,1.0
OTU_460611<==>OTU_193064,OTU_460611,OTU_193064,microbe<==>microbe,0.02186454845938149,0.18169011381620928,0.016666666666666666,0.6247213118475399,0.4369976208884008,0.016666666666666666,0.0012050437516064542,0.3863837718706033,0.7071067811865475,1.0,-0.08564295539280307,0.4588314677411236,1.0,0.5777798442342452,0.010117448967569291,OTU_460611,0.0,0.0,4.434904770239999,9.00703757618,-0.469924051990942,-1.4656424379909239,-1.3986153771315213,-0.7080242775889175,OTU_193064,2.120453259,1.8120655934999998,2.52881230264,3.248678779240001,-0.469924051990942,-1.4656424379909239,-1.4787093742443593,-0.7080242775889175,True,True,1.0,-1.0,-1.0,1.0,1,1.0
OTU_331013<==>OTU_261016,OTU_331013,OTU_261016,microbe<==>microbe,0.5428954489446653,0.504631575468691,0.05385421772754211,0.22949598665061552,0.03738607346849874,0.1881204043741873,0.02860861103025612,0.1064172631995687,-0.3999999999999999,-0.8720815992723809,-0.208447157365058,-0.8999999999999998,-0.6999999999999998,-0.49568524890631166,0.07150414688850162,OTU_331013,10.04233967,11.46265556,11.29345336002,11.752879847860005,-0.40885704733809847,-1.4656424379909239,-0.4756829033624844,-0.7080242775889175,OTU_261016,19.950038380000002,11.207298965,26.53611375,15.933184001180003,4.050684904566077,2.6748831772374424,2.842104052788491,2.754613223396722,True,True,-1.0,-1.0,1.0,-1.0,1,-1.0
OTU_193064<==>OTU_196191,OTU_193064,OTU_196191,microbe<==>microbe,0.6883449131636586,0.1881204043741873,0.016666666666666666,0.5553106234677258,0.5528147466433507,0.016666666666666666,0.01908125055941991,0.07026662257072458,-0.6999999999999998,1.0,0.10317843127775166,-0.3590924232298039,1.0,0.18572543843644543,0.05565295674853848,OTU_193064,2.120453259,1.8120655934999998,2.52881230264,3.248678779240001,-0.469924051990942,-1.4656424379909239,-1.4787093742443593,-0.7080242775889175,OTU_196191,3.919567839,2.1389852065,4.4934520639799995,2.4766245740400006,-0.40885704733809847,-1.4656424379909239,-0.4756829033624844,-0.7080242775889175,True,True,1.0,-1.0,-1.0,1.0,1,1.0
OTU_187962<==>OTU_324888,OTU_187962,OTU_324888,microbe<==>microbe,1.289488545983115e-05,0.39100221895577075,0.03738607346849874,5.954671357920276e-07,0.1988921881373051,0.016666666666666666,2.0322464224562785e-10,0.6654651278809984,0.4999999999999999,0.8999999999999998,0.7315718393508636,0.6882472016116853,1.0,0.7475473614739245,7.201631227713997e-09,OTU_187962,5.174773742999999,3.6972549304999998,32.099009720279994,14.749567742420002,-2.061889923863942,-4.212073916745963,-0.8626199311458889,-3.0914029345988876,OTU_324888,3.5864140015,1.7214131755,19.70249069972,8.117710996899998,-1.6655895354255674,-3.663124799678708,-1.1326325638896526,-3.5643188724829615,True,True,1.0,-1.0,-1.0,1.0,1,1.0
OTU_185177<==>OTU_261142,OTU_185177,OTU_261142,microbe<==>microbe,0.0005174514299037068,0.7470600781046621,0.016666666666666666,0.00018913010015700438,0.28475697986529386,0.016666666666666666,1.6254216490598659e-07,0.5564902444766954,-0.19999999999999996,1.0,0.5903609535492497,0.5999999999999999,1.0,0.5911418663376575,3.6741673979298284e-06,OTU_185177,8.556678002,5.447960167,10.38114539586,5.752639718779999,-0.40885704733809847,-1.4656424379909239,-0.4756829033624844,-0.7080242775889175,OTU_261142,5.446128784,2.634110496,6.540227916660001,3.21721441824,-0.40885704733809847,-1.4656424379909239,-0.4756829033624844,-0.7080242775889175,True,True,1.0,-1.0,-1.0,1.0,1,1.0
OTU_182712<==>OTU_4345268,OTU_182712,OTU_4345268,microbe<==>microbe,0.6318893691692502,0.39100221895577075,0.016666666666666666,0.23443215203115284,0.1881204043741873,0.016666666666666666,0.013958582730330812,0.08388084357358104,0.4999999999999999,1.0,-0.20630240738190508,-0.6999999999999998,1.0,0.279596406031946,0.046839197258898686,OTU_182712,10.09829048,7.0250758215,11.20786693436,7.184879434759999,-0.40885704733809847,-1.4656424379909239,-0.4756829033624844,-0.7080242775889175,OTU_4345268,3.663797875,2.0069636795,3.6004347562000003,2.4124621407,-0.40885704733809847,-1.4656424379909239,-0.4756829033624844,-0.7080242775889175,True,True,1.0,-1.0,-1.0,1.0,1,1.0
OTU_349246<==>OTU_266946,OTU_349246,OTU_266946,microbe<==>microbe,0.20673524675291702,0.03738607346849874,0.05385421772754211,0.008935445439390365,0.10408803866182796,0.39100221895577075,0.0017070472852820577,-0.21876595025149267,-0.8999999999999998,-0.8720815992723809,-0.43544938411163286,-0.7999999999999998,-0.4999999999999999,-0.6210494889392509,0.012945118351305282,OTU_349246,4.589839102,1.9950060244999999,4.772707773960001,2.1505618720399995,-0.40885704733809847,-1.4656424379909239,-0.4756829033624844,-0.7080242775889175,OTU_266946,11.99125087,10.08277615,17.26186317256,15.701201727120003,3.776105069282231,3.052339400281177,2.1428546913928375,2.299039492144702,True,True,-1.0,-1.0,1.0,-1.0,1,-1.0
OTU_182712<==>OTU_179703,OTU_182712,OTU_179703,microbe<==>microbe,0.11290106461397376,0.10408803866182796,0.016666666666666666,0.4556398023479542,0.39100221895577075,0.016666666666666666,0.004369571802470822,0.27275914492563064,-0.7999999999999998,1.0,0.13029772361217817,-0.4999999999999999,1.0,0.18384281142296818,0.02328110688315576,OTU_182712,10.09829048,7.0250758215,11.20786693436,7.184879434759999,-0.40885704733809847,-1.4656424379909239,-0.4756829033624844,-0.7080242775889175,OTU_179703,5.8151586465000005,3.9077639160000004,7.476569717560004,3.7218614483800008,-0.40885704733809847,-1.4656424379909239,-0.4756829033624844,-0.7080242775889175,True,True,1.0,-1.0,-1.0,1.0,1,1.0
OTU_272092<==>OTU_309916,OTU_272092,OTU_309916,microbe<==>microbe,0.2936395951362084,0.016666666666666666,0.17179530490798894,0.015873796570336857,0.32172333582430024,0.28475697986529386,0.039754496243525374,-0.18264584399437012,1.0,-0.7181848464596078,-0.4047519281343301,-0.5642880936468347,-0.5999999999999999,-0.24497845203919044,0.09064505530828816,OTU_272092,8.568399598,6.586518164999999,14.13593111322,8.69336654584,-0.40885704733809847,-1.4656424379909239,-0.4756829033624844,-0.7080242775889175,OTU_309916,11.188509620000001,6.9393125215,17.482673595079994,10.2535733783,4.4547735532297805,3.440758692324174,2.9678697144881667,3.7869135307724835,True,True,-1.0,-1.0,1.0,-1.0,1,-1.0
