Node,Subnetwork_partition
OTU_176154,microbe_0
OTU_203713,microbe_0
OTU_460611,microbe_1
OTU_193064,microbe_1
OTU_331013,microbe_2
OTU_261016,microbe_1
OTU_196191,microbe_3
OTU_187962,microbe_4
OTU_324888,microbe_4
OTU_185177,microbe_3
OTU_261142,microbe_3
OTU_182712,microbe_2
OTU_4345268,microbe_2
OTU_349246,microbe_1
OTU_266946,microbe_1
OTU_179703,microbe_0
OTU_272092,microbe_1
OTU_309916,microbe_1
OTU_182764,microbe_4
OTU_187233,microbe_4
OTU_261132,microbe_2
OTU_264155,microbe_2
OTU_272889,microbe_1
OTU_259506,microbe_4
OTU_265011,microbe_2
OTU_129394,microbe_2
OTU_262104,microbe_2
OTU_320249,microbe_2
OTU_191274,microbe_2
OTU_264846,microbe_1
OTU_229452,microbe_2
OTU_206324,microbe_0
OTU_324013,microbe_0
OTU_4448052,microbe_1
OTU_1129461,microbe_1
OTU_180362,microbe_1
OTU_170950,microbe_3
OTU_272758,microbe_3
OTU_269037,microbe_1
OTU_273737,microbe_2
OTU_268492,microbe_1
OTU_166911,microbe_4
OTU_191616,microbe_2
OTU_1995182,microbe_4
OTU_344703,microbe_4
OTU_194151,microbe_0
OTU_185222,microbe_3
OTU_197099,microbe_1
OTU_198209,microbe_0
OTU_270200,microbe_0
OTU_259993,microbe_4
OTU_631764,microbe_0
OTU_4468805,microbe_3
OTU_174320,microbe_2
OTU_261590,microbe_0
OTU_198194,microbe_1
OTU_539647,microbe_4
OTU_191811,microbe_1
OTU_268063,microbe_3
OTU_191067,microbe_3
OTU_1902400,microbe_2
OTU_134762,microbe_0
OTU_445144,microbe_0
OTU_346804,microbe_2
OTU_297143,microbe_0
OTU_264225,microbe_2
OTU_549756,microbe_4
OTU_193672,microbe_0
OTU_288680,microbe_2
OTU_188225,microbe_2
OTU_230268,microbe_1
OTU_264734,microbe_3
120min glucose,pheno_1
fasting glucose from GTT,pheno_1
fasting glucose from HOMA serum,pheno_1
fasting insulin,pheno_0
Body weight,pheno_0
GTT-AUC,pheno_1
fed glucose,pheno_1
HOMA-IR,pheno_0
fasting leptin,pheno_0
