Edge name,partner1,partner2,Edge Type,Spearman corr pval (metatreatment1),Spearman corr pval (metatreatment2),Spearman corr pval (metatreatment3),Spearman corr pval (metatreatment4),Spearman corr pval (metatreatment5),Spearman corr pval (metatreatment6),Combined corr Pvalue,Corr Coefficient (metatreatment1),Corr Coefficient (metatreatment2),Corr Coefficient (metatreatment3),Corr Coefficient (metatreatment4),Corr Coefficient (metatreatment5),Corr Coefficient (metatreatment6),Mean Corr Coefficient,Combined corr FDR,partner1 name,partner1_MedianValue (Experiment1),partner1_MedianValue (Experiment2),partner1_MeanValue (Experiment1),partner1_MeanValue (Experiment2),partner1_MedianLog2FoldChange (Experiment1),partner1_MedianLog2FoldChange (Experiment2),partner1_MeanLog2FoldChange (Experiment1),partner1_MeanLog2FoldChange (Experiment2),partner2 name,partner2_MedianValue (Experiment1),partner2_MedianValue (Experiment2),partner2_MeanValue (Experiment1),partner2_MeanValue (Experiment2),partner2_MedianLog2FoldChange (Experiment1),partner2_MedianLog2FoldChange (Experiment2),partner2_MeanLog2FoldChange (Experiment1),partner2_MeanLog2FoldChange (Experiment2),Correlations Passed Consistency Filter (All Agree),All Non-PUC Filters Passed,combined Coefficient correlation Direction,partner1_FC_direction,partner2_FC_direction,IfFoldChangeDirectionMatch,PUC,"Final Network Value (0: No edge, 1: Positive edge, -1: Negative edge)"
lipid489<==>lipid507,lipid489,lipid507,lipid_metab<==>lipid_metab,0.11952980613879265,0.0020082755054294677,0.06209269238231711,0.11952980613879265,0.0020082755054294677,0.06209269238231711,1.2771563323003916e-05,0.5952380952380952,0.9047619047619048,0.6826469692905577,0.5952380952380952,0.9047619047619048,0.6826469692905577,0.7275489897635192,9.524991088909727e-05,lipid489,1317.0935963,1317.0935963,1415.075888653125,1415.075888653125,-2.3617700045800625,-2.3617700045800625,-2.331316992733589,-2.331316992733589,lipid507,1705.907821,1705.907821,1945.8169057218747,1945.8169057218747,-2.401590490233446,-2.401590490233446,-2.1865753819960543,-2.1865753819960543,True,True,1.0,-1.0,-1.0,1.0,1,1.0
lipid485<==>lipid503,lipid485,lipid503,lipid_metab<==>lipid_metab,0.08555889101267318,0.0149026676862301,0.02800493915307187,0.08555889101267318,0.0149026676862301,0.02800493915307187,4.9751780694472704e-05,0.6428571428571429,0.8095238095238095,0.7619047619047619,0.6428571428571429,0.8095238095238095,0.7619047619047619,0.7380952380952381,0.0002921299672713651,lipid485,74.57684197500001,74.57684197500001,184.92480441400002,184.92480441400002,-11.601279036326439,-11.601279036326439,-4.648407221791445,-4.648407221791445,lipid503,93.17947938,93.17947938,124.89538736759374,124.89538736759374,-1.6347141127275597,-1.6347141127275597,-1.7306249492457344,-1.7306249492457344,True,True,1.0,-1.0,-1.0,1.0,1,1.0
lipid471<==>lipid316,lipid471,lipid316,lipid_metab<==>lipid_metab,0.0149026676862301,0.019544537274857787,0.0348550393366641,0.0149026676862301,0.019544537274857787,0.0348550393366641,6.9622259004374836e-06,-0.8095238095238095,-0.790433332862751,-0.7425282823862206,-0.8095238095238095,-0.790433332862751,-0.7425282823862206,-0.7808284749242603,5.7400654929433554e-05,lipid471,87.673325855,87.673325855,83.78594962453126,83.78594962453126,-10.325928179129638,-10.325928179129638,-10.404608926758973,-10.404608926758973,lipid316,149.95359430000002,149.95359430000002,200.7307014154063,200.7307014154063,1.7236150654608315,1.7236150654608315,2.0350325497659365,2.0350325497659365,True,True,-1.0,-1.0,1.0,-1.0,1,-1.0
lipid207<==>lipid533,lipid207,lipid533,lipid_metab<==>lipid_metab,0.026975647289092654,0.12619898553608927,0.1600256425388966,0.026975647289092654,0.12619898553608927,0.1600256425388966,0.00273441158369929,0.7650602409638554,0.5868368683374969,0.5476190476190477,0.7650602409638554,0.5868368683374969,0.5476190476190477,0.6331720523068,0.007724789116706814,lipid207,325.8583341,325.8583341,308.04281457165615,308.04281457165615,8.784837387940694,8.784837387940694,6.178189219281564,6.178189219281564,lipid533,119.5733718,119.5733718,163.08027644625,163.08027644625,1.2181068330718945,1.2181068330718945,1.1219071000430931,1.1219071000430931,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000060961<==>ENSMUSG00000016756,ENSMUSG00000060961,ENSMUSG00000016756,RNAseq<==>RNAseq,0.05799031816457279,0.0002604000243872527,0.010175540123456787,0.05799031816457279,0.0002604000243872527,0.010175540123456787,7.071472877794152e-09,0.6904761904761905,0.9523809523809523,0.8333333333333334,0.6904761904761905,0.9523809523809523,0.8333333333333334,0.8253968253968255,7.418409621832141e-08,ENSMUSG00000060961,114.02250875,114.02250875,126.45018100687498,126.45018100687498,1.4235830883646323,1.4235830883646323,1.3958851322428605,1.3958851322428605,ENSMUSG00000016756,43.21134246,43.21134246,75.22678917437497,75.22678917437497,2.3123666367049776,2.3123666367049776,2.279717947355402,2.279717947355402,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000028797<==>ENSMUSG00000052337,ENSMUSG00000028797,ENSMUSG00000052337,RNAseq<==>RNAseq,0.0149026676862301,0.010175540123456787,0.03655276105286082,0.0149026676862301,0.010175540123456787,0.03655276105286082,2.649623413556556e-06,0.8095238095238095,0.8333333333333334,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.7380952380952381,0.7936507936507936,8.541394996449213e-06,ENSMUSG00000028797,112.7094583,112.7094583,118.0304665534375,118.0304665534375,0.6556310648672629,0.6556310648672629,0.5785555217540936,0.5785555217540936,ENSMUSG00000052337,84.52013333,84.52013333,102.77382856968748,102.77382856968748,1.4698097623190023,1.4698097623190023,1.3140371736482006,1.3140371736482006,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000064367<==>ENSMUSG00000044573,ENSMUSG00000064367,ENSMUSG00000044573,RNAseq<==>RNAseq,0.0149026676862301,3.314396026200151e-05,0.05799031816457279,0.0149026676862301,3.314396026200151e-05,0.05799031816457279,4.018153012017178e-10,0.8095238095238095,0.9761904761904762,0.6904761904761905,0.8095238095238095,0.9761904761904762,0.6904761904761905,0.8253968253968255,8.45551951353553e-09,ENSMUSG00000064367,672.5242991499999,672.5242991499999,879.3446273593751,879.3446273593751,1.09527645371525,1.09527645371525,1.0773846179171138,1.0773846179171138,ENSMUSG00000044573,89.280514185,89.280514185,97.21303918000002,97.21303918000002,0.9170576917119208,0.9170576917119208,0.9415900794497208,0.9415900794497208,True,True,1.0,1.0,1.0,1.0,1,1.0
lipid75<==>lipid142,lipid75,lipid142,lipid_metab<==>lipid_metab,0.05588472558800698,0.019544537274857787,0.18272075053971493,0.05588472558800698,0.019544537274857787,0.18272075053971493,0.0006558698864559329,0.6946232319096902,0.790433332862751,0.5238095238095238,0.6946232319096902,0.790433332862751,0.5238095238095238,0.6696220295273217,0.002384846474236672,lipid75,226.9881293,226.9881293,237.312751733125,237.312751733125,1.2487178729170771,1.2487178729170771,1.2346078844152977,1.2346078844152977,lipid142,31.668480395,31.668480395,27.912648296343754,27.912648296343754,7.02603778133084,7.02603778133084,2.045352039694631,2.045352039694631,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000070594<==>ENSMUSG00000062949,ENSMUSG00000070594,ENSMUSG00000062949,RNAseq<==>RNAseq,0.006530017254715304,0.05799031816457279,0.0002604000243872527,0.006530017254715304,0.05799031816457279,0.0002604000243872527,3.3318493709650535e-09,0.8571428571428571,0.6904761904761905,0.9523809523809523,0.8571428571428571,0.6904761904761905,0.9523809523809523,0.8333333333333334,4.14244024312598e-08,ENSMUSG00000070594,45.70822758,45.70822758,66.9175916046875,66.9175916046875,1.7868473113486507,1.7868473113486507,1.7373562616448541,1.7373562616448541,ENSMUSG00000062949,85.9382655,85.9382655,101.94265857968749,101.94265857968749,1.1158504887210916,1.1158504887210916,1.0591817286286682,1.0591817286286682,True,True,1.0,1.0,1.0,1.0,1,1.0
lipid388<==>lipid213,lipid388,lipid213,lipid_metab<==>lipid_metab,0.04462261002441918,0.0038503204637324114,0.07098765432098764,0.04462261002441918,0.0038503204637324114,0.07098765432098764,9.309144503956546e-06,0.7185757571479554,0.8809523809523809,0.6666666666666666,0.7185757571479554,0.8809523809523809,0.6666666666666666,0.7553982682556676,7.304369976761562e-05,lipid388,170.8867415,170.8867415,193.39542752928125,193.39542752928125,8.03844215599832,8.03844215599832,4.4613626897630025,4.4613626897630025,lipid213,742.1991478,742.1991478,743.9771014823435,743.9771014823435,6.040997986318649,6.040997986318649,3.633533059158476,3.633533059158476,True,True,1.0,1.0,1.0,1.0,1,1.0
